Fecha,Target,Model,Forecast
2027-06,Cataluña,XGBoost,2854.6
2027-07,Cataluña,XGBoost,2876.1
2027-08,Cataluña,XGBoost,2876.1
2027-09,Cataluña,XGBoost,2682.9
2027-10,Cataluña,XGBoost,2876.1
2027-11,Cataluña,XGBoost,2876.1
2027-12,Cataluña,XGBoost,2876.1
2026-01,Cataluña,Diesel Share,7147.3
2026-02,Cataluña,Diesel Share,23390.0
2026-03,Cataluña,Diesel Share,88214.1
2026-04,Cataluña,Diesel Share,90093.9
2026-05,Cataluña,Diesel Share,93559.2
2026-06,Cataluña,Diesel Share,89942.1
2026-07,Cataluña,Diesel Share,98753.1
2026-08,Cataluña,Diesel Share,82139.4
2026-09,Cataluña,Diesel Share,86334.9
2026-10,Cataluña,Diesel Share,93233.4
2026-11,Cataluña,Diesel Share,87174.9
2026-12,Cataluña,Diesel Share,92969.1
2027-01,Cataluña,Diesel Share,82690.8
2027-02,Cataluña,Diesel Share,82336.2
2027-03,Cataluña,Diesel Share,88214.1
2027-04,Cataluña,Diesel Share,90093.9
2027-05,Cataluña,Diesel Share,93559.2
2027-06,Cataluña,Diesel Share,89942.1
2027-07,Cataluña,Diesel Share,98753.1
2027-08,Cataluña,Diesel Share,82139.4
2027-09,Cataluña,Diesel Share,86334.9
2027-10,Cataluña,Diesel Share,93233.4
2027-11,Cataluña,Diesel Share,87174.9
2027-12,Cataluña,Diesel Share,92969.1
2026-01,Andalucía,SARIMA,2122.2
2026-02,Andalucía,SARIMA,2236.0
2026-03,Andalucía,SARIMA,2221.1
2026-04,Andalucía,SARIMA,2224.0
2026-05,Andalucía,SARIMA,2167.2
2026-06,Andalucía,SARIMA,2135.2
2026-07,Andalucía,SARIMA,2112.8
2026-08,Andalucía,SARIMA,2157.3
2026-09,Andalucía,SARIMA,2172.0
2026-10,Andalucía,SARIMA,2170.3
2026-11,Andalucía,SARIMA,2175.7
2026-12,Andalucía,SARIMA,2152.3
2027-01,Andalucía,SARIMA,2140.2
2027-02,Andalucía,SARIMA,2134.2
2027-03,Andalucía,SARIMA,2134.9
2027-04,Andalucía,SARIMA,2134.8
2027-05,Andalucía,SARIMA,2137.8
2027-06,Andalucía,SARIMA,2139.5
2027-07,Andalucía,SARIMA,2140.7
2027-08,Andalucía,SARIMA,2138.3
2027-09,Andalucía,SARIMA,2137.5
2027-10,Andalucía,SARIMA,2137.6
2027-11,Andalucía,SARIMA,2137.3
2027-12,Andalucía,SARIMA,2138.6
2026-01,Andalucía,Logistic,1992.8
2026-02,Andalucía,Logistic,2112.8
2026-03,Andalucía,Logistic,2265.1
2026-04,Andalucía,Logistic,2426.1
2026-05,Andalucía,Logistic,2567.9
2026-06,Andalucía,Logistic,2665.8
2026-07,Andalucía,Logistic,2705.0
2026-08,Andalucía,Logistic,2685.0
2026-09,Andalucía,Logistic,2619.5
2026-10,Andalucía,Logistic,2533.2
2026-11,Andalucía,Logistic,2455.5
2026-12,Andalucía,Logistic,2412.1
2027-01,Andalucía,Logistic,2419.2
2027-02,Andalucía,Logistic,2478.3
2027-03,Andalucía,Logistic,2576.7
2027-04,Andalucía,Logistic,2690.5
2027-05,Andalucía,Logistic,2791.4
2027-06,Andalucía,Logistic,2854.1
2027-07,Andalucía,Logistic,2863.2
2027-08,Andalucía,Logistic,2817.5
2027-09,Andalucía,Logistic,2730.3
2027-10,Andalucía,Logistic,2625.7
2027-11,Andalucía,Logistic,2532.6
2027-12,Andalucía,Logistic,2476.3
2026-01,Andalucía,Gompertz,1913.2
